(300.00, 400.03)
(300.00, 400.10)
(300.00, 400.23)
(300.00, 400.40)
(300.00, 400.63)
(300.00, 400.90)
(300.00, 401.23)
(300.00, 401.60)
(300.00, 402.03)
(300.00, 402.50)
(300.00, 403.03)
(300.00, 403.60)
(300.00, 404.23)
(300.00, 404.90)
(300.00, 405.63)
(300.00, 406.40)
(300.00, 407.23)
(300.00, 408.10)
(300.00, 409.03)
(300.00, 410.00)
(300.01, 411.03)
(300.01, 412.10)
(300.01, 413.23)
(300.02, 414.40)
(300.02, 415.63)
(300.03, 416.90)
(300.04, 418.23)
(300.05, 419.60)
(300.06, 421.03)
(300.07, 422.50)
(300.09, 424.02)
(300.11, 425.59)
(300.13, 427.21)
(300.15, 428.88)
(300.18, 430.60)
(300.22, 432.37)
(300.26, 434.19)
(300.30, 436.05)
(300.35, 437.96)
(300.41, 439.92)
(300.47, 441.93)
(300.54, 443.98)
(300.62, 446.08)
(300.71, 448.23)
(300.81, 450.42)
(300.93, 452.65)
(301.05, 454.93)
(301.19, 457.25)
(301.34, 459.61)
(301.50, 462.02)
(301.69, 464.46)
(301.88, 466.94)
(302.10, 469.46)
(302.34, 472.02)
(302.60, 474.61)
(302.88, 477.23)
(303.18, 479.88)
(303.51, 482.57)
(303.86, 485.28)
(304.25, 488.02)
(304.66, 490.78)
(305.10, 493.56)
(305.57, 496.36)
(306.08, 499.18)
(306.62, 502.01)
(307.19, 504.85)
(307.80, 507.70)
(308.45, 510.56)
(309.15, 513.41)
(309.88, 516.27)
(310.65, 519.12)
(311.47, 521.96)
(312.33, 524.79)
(313.24, 527.61)
(314.20, 530.40)
(315.20, 533.18)
(316.26, 535.92)
(317.36, 538.64)
(318.52, 541.32)
(319.72, 543.96)
(320.98, 546.55)
(322.29, 549.10)
(323.65, 551.60)
(325.07, 554.04)
(326.54, 556.42)
(328.06, 558.74)
(329.64, 560.99)
(331.27, 563.17)
(332.95, 565.27)
(334.69, 567.30)
(336.47, 569.24)
(338.31, 571.09)
(340.20, 572.85)
(342.14, 574.52)
(344.13, 576.10)
(346.16, 577.57)
(348.24, 578.95)
(350.37, 580.21)
(352.54, 581.38)
(354.75, 582.43)
(357.00, 583.37)
(359.28, 584.20)
(361.61, 584.92)
(363.97, 585.52)
(366.36, 586.01)
(368.78, 586.38)
(371.22, 586.64)
(373.70, 586.78)
(376.19, 586.81)
(378.71, 586.72)
(381.25, 586.51)
(383.80, 586.19)
(386.37, 585.77)
(388.95, 585.23)
(391.53, 584.58)
(394.13, 583.83)
(396.73, 582.97)
(399.33, 582.01)
(401.94, 580.95)
